课程名称,学分
大学物理（A类）（1）,4.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
基本电路理论,4.0
基本电路理论,4.0
基本电路理论,4.0
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（4）,3.0
大学英语（4）,3.0
大学英语（4）,3.0
大学英语（4）,3.0
大学英语（4）,3.0
体育（4）,1.0
大学物理实验（1）,1
大学物理实验（1）,1
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
遗传学讨论课,2
生物学实验（2）,4
汉语惯用语和成语,2
发育与再生生物学,4
中国文化概要,2
嵌入式系统原理与实验（A类）,4
高等数学（A）（2）,4.0
职业生涯发展与规划,2
职业生涯发展与规划,2
职业生涯发展与规划,2
系统思考与科学决策,2
制造实践(B类),2
孙子兵法,2
产品设计工程学,2
改良性产品设计,4
摄影基础（A类）,2
C语言程序设计,3
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（3）,3.0
形势与政策,0.5
大学英语（3）,3.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（2）,1.0
体育（2）,1.0
工程实践与科技创新Ⅱ-B,2
工程实践与科技创新Ⅳ-C,2
基于安卓开发平台的电子系统综合设计,2
全球变化下的自然和生态,2
影视艺术学,2
中外文学史,2
拓扑学,3
人工智能交互技术,2
英特尔前沿AI算法与实践,2
毕业论文（法学）,10
工程实践与科技创新Ⅳ-I,2
机器学习,3
数学分析（A类）（2）,5
计算机系统（2）,4
生命科学导论实验（A类）,1
临床医学及病理学,3
新中国法律与中国社会,2
移动机器人构建与编程,1
航模技术与实践,2
3D技术创新实践,2
英语精读（3）,2
英语写作（M类）（1）,3
英语语言文化对比与翻译,3
英语精读（1）,3
英语精读（1）,3
翻译批评与赏析,2
翻译批评与赏析,2
英语视听说（1）,3
英语视听说（1）,3
读书报告（二）（专业导师制活动）,1
文学概论,2
鲁迅与中外文化,2
语言学概论,2
有机化学（1）,4
中级宏观经济学,3
中级宏观经济学,3
公司金融学,3
招聘与选拔,2
绩效与薪酬管理,2
数据结构,2
信息系统分析与设计,3
计算机网络及应用,2
电磁场,2
中国近现代史纲要,3
中国近现代史纲要,3
中国近现代史纲要,3
中国近现代史纲要,3
金融计量,3
金融计量,3
金融数学,2
高等数学（A）（2）,4.0
高等数学（A）（2）,4.0
领导力学习与实践,2
程序设计与数据结构,3
政治的边界与逻辑,2
程序设计与数据结构,3
组织文化研究,2
信息论,2
程序语言,4
软件知识产权保护,1
软件产品设计与用户体验,1
计算机系统课程设计,3
信号与系统（B类）,3
信号与系统（B类）,3
信号与系统（B类）,3
中国近现代史纲要,3
中国近现代史纲要,3
电磁场,2
电磁场,2
知识产权法（B类）,3
行政法原理,3
环境资源保护法,2
跨文化交际,2
跨文化交际,2
翻译（英汉、日汉、韩汉）,2
中国古代文学（2）,2
新时代社会认知实践,2
新时代社会认知实践,2
新时代社会认知实践,2
新时代社会认知实践,2
新时代社会认知实践,2
微生物实验,1
微生物实验,1
食品工程原理,4
食品工程原理实验,1.5
植物学实验,1
科学思想背后的“小”故事（2）,1
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（3）,3.0
